internal_id,Award ID,Start Date,Award Amount,Recipient Name,Description,Contract Award Type,def_codes,Awarding Agency,Awarding Sub Agency,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
123823345,03310321D0001,2021-01-01,500.0,"GARTNER, INC.",FEDLINK - ELECTRONIC SERVICES,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Library of Congress,Library of Congress,Library of Congress,Library of Congress,,,CONT_IDV_03310321D0001_0300
121741718,80JSC021D0001,2021-01-01,9503517.27,UNIVERSITY OF ALABAMA AT BIRMINGHAM,MAINTENANCE AND SUSTAINMENT OF COLD STOWAGE SUITE OF FREEZERS FOR ISS,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862.0,national-aeronautics-and-space-administration,CONT_IDV_80JSC021D0001_8000
121156351,47QSWC21D0001,2021-01-01,422184.8,"DRAEGER, INC.",DRAEGER ANESTHESIA EQUIPMENT REQUIREMENTS CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Federal Acquisition Service,Department of Defense,Department of the Navy,614.0,general-services-administration,CONT_IDV_47QSWC21D0001_4732
116821659,15BNAS21DWNP10714,2021-01-01,4392351.6,"ABBOTT RAPID DX NORTH AMERICA, LLC",COVID TESTING,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252.0,department-of-justice,CONT_IDV_15BNAS21DWNP10714_1540
116810034,36C24721A0010,2021-01-01,10477.99,"SUBURBAN PROPANE PARTNERS, L.P.",PROPANE GAS SERVICE,BPA,,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,561.0,department-of-veterans-affairs,CONT_IDV_36C24721A0010_3600
116789818,47PM0821D0002,2021-01-01,1586304.4,"MELWOOD HORTICULTURAL TRAINING CENTER, INC.",CONTRACTOR WILL PROVIDE CUSTODIAL AND PEST MANAGEMENT SERVICES FOR SIX BUILDINGS AT THE FRANCONIA SPRINGFIELD COMPLEX.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614.0,general-services-administration,CONT_IDV_47PM0821D0002_4740
116789817,47PM0721D0003,2021-01-01,2951850.66,"JIM JAM, INC.",9 MONTH BRIDGE CONTRACT FOR O&M SERVICES AT WJC N&S,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614.0,general-services-administration,CONT_IDV_47PM0721D0003_4740
116648779,75N98021D00002,2021-01-01,3142421.28,"SPRINGER NATURE CUSTOMER SERVICE CENTER, LLC",NIH ACCESS TO SPRINGER NATURE ONLINE RESOURCES BASE YEAR.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,National Institutes of Health,Department of Health and Human Services,National Institutes of Health,806.0,department-of-health-and-human-services,CONT_IDV_75N98021D00002_7529
116648772,47PE0521D0001,2021-01-01,232776.96,HUNTSVILLE REHABILITATION FOUNDATION,EO14042: COVID-19 2020 FAR CLAUSE 52.223-99,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614.0,general-services-administration,CONT_IDV_47PE0521D0001_4740
116609698,47PK0221D0005,2021-01-01,394068.36,"CATHOLIC COMMUNITY SERVICES OF SOUTHERN ARIZONA, INC.","CUSTODIAL, TRASH AND GROUNDS MAINTENANCE SERVICES FOR THE JAMES A WALSH FEDERAL BUILDING TUCSON AZ",INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614.0,general-services-administration,CONT_IDV_47PK0221D0005_4740
116490412,36C24621D0034,2021-01-01,1551921.5,"COMMONWEALTH HOME HEALTH CARE, INC.",HOME OXYGEN DELIVERY SERVICES.,INDEFINITE DELIVERY / DEFINITE QUANTITY,,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C24621D0034_3600
116304289,15B61121DWA130068,2021-01-01,30079.6,"MEDOSWEET FARMS, INC.",QUARTERLY DAIRY REQUIREMENT,INDEFINITE DELIVERY / REQUIREMENTS,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B61121DWA130068_1540
116230193,47PB0021D0002,2021-01-01,345466.76,KONE INC.,"ELEVATOR OPERATION AND MAINTENANCE AGREEMENT FOR FEDERAL BUILDINGS IN MAINE, NEW HAMPSHIRE, AND VERMONT.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PB0021D0002_4740
116161974,47PL0221D0001,2021-01-01,471176.64,FAIRBANKS RESOURCE AGENCY INC,"JANITORIAL AND RELATED SERVICES, FAIRBANKS, ALASKA",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PL0221D0001_4740
116061711,15B31521A00000057,2021-01-01,1964533.0,"GLC ON-THE-GO, INC.","PROVIDE PHARMACY TECHNICIAN, PHLEBOTOMIST, AND RADIOLOGIC TECHNOLOGIST SERVICES FOR THE INMATE POPULATION AT THE FEDERAL CORRECTIONAL COMPLEX LOCATED IN YAZOO CITY, MISSISSIPPI IN ACCORDANCE WITH THE STATEMENT OF WORK.",BPA,,Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15B31521A00000057_1540
115651092,47PK0221D0004,2021-01-01,721840.72,CLEAN SOLUTIONS SERVICES INC,EO14042:,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PK0221D0004_4740
111983796,15BRRC21D00000242,2021-01-01,784596.78,"GEO REENTRY, INC.","TO PROVIDE RESIDENTIAL REENTRY CENTER (RRC) SERVICES AND HOME CONFINEMENT SERVICES FOR FEDERAL OFFENDERS LOCATED WITHIN THE CITY LIMITS OF HOUSTON, TX. THE RADIUS FOR HOME CONFINEMENT PLACEMENTS IS WITHIN 150 MILES OF FACILITY.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Justice,Federal Prison System / Bureau of Prisons,Department of Justice,Federal Prison System / Bureau of Prisons,252,department-of-justice,CONT_IDV_15BRRC21D00000242_1540
110708395,140G0120D0022,2021-01-01,8535.0,"WOODS HOLE GROUP, INC., THE",SATELLITE DATA COLLECTION AND LOCATION PROCESSING FOR THE USGS WETLAND AND AQUATIC RESEARCH CENTER (WARC),INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of the Interior,U.S. Geological Survey,Department of the Interior,U.S. Geological Survey,209,department-of-the-interior,CONT_IDV_140G0120D0022_1434
125172902,36C77021K0040,2020-12-31,116853.48,"M-PAK, INC.","EXPRESS REPORT:760A16055,760A16058,760A16060,760A16080,760A16081,760A16083,760A16084,760A16061,760A16062,760A16065,760A16066,760A16067,760A16069,760A16071,760A16073,760A16074,760A16077,760A16079",BPA,,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C77021K0040_3600
125116428,36C77021K0039,2020-12-31,214064.96,"M-PAK, INC.","EXPRESS REPORT: 760A16042,076A16054,760A16025,760A16027,760A1629,760A16031,760A16031,760A16033,760A16036,760A16037,760A16040,760A16041,760A16043,760A16045,760A16047,760A16048,760A16050,760A16052",BPA,,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,561,department-of-veterans-affairs,CONT_IDV_36C77021K0039_3600
116789816,47PH0221D0002,2020-12-31,2358181.44,"WILSON 5 SERVICE COMPANY, INC.","OPERATIONS AND MAINTENANCE SERVICES AT J.J. PICKLE FB 300 E. 8TH ST., AUSTIN, TX, HOMER THORNBERRY JUDICIAL BUILDING, 903 SAN JACINTO BLVD., AUSTIN TX AND AUSTIN FEDERAL COURTHOUSE, 501 W. 5TH ST., AUSTIN.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PH0221D0002_4740
116789815,47PH0221D0001,2020-12-31,1499247.45,"KLEANE KARE TEAM, INC., THE",THE CONTRACTOR SHALL PROVIDE FULL MAINTENANCE SERVICES IN TULSA AND O&M SERVICES IN MUSKOGEE OKLAHOMA. BASE YEAR AND 7 OPTION PERIODS,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PH0221D0001_4740
116648778,75D30121D10217,2020-12-31,79608.32,ASTRAZENECA PHARMACEUTICALS LP,FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10217_7523
116648777,75D30121D10216,2020-12-31,14539488.0,ASTRAZENECA PHARMACEUTICALS LP,FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10216_7523
116569341,75D30121D10215,2020-12-31,9518438.2,SEQIRUS USA INC.,ADULT FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10215_7523
116569339,75D30121D10196,2020-12-31,5749075.2,GLAXOSMITHKLINE LLC,FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10196_7523
116569338,75D30121D10193,2020-12-31,140038597.5,GLAXOSMITHKLINE LLC,FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10193_7523
116569337,75D30121D10191,2020-12-31,86988820.8,SANOFI PASTEUR INC.,FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10191_7523
116569336,75D30121D10190,2020-12-31,5560694.91,SANOFI PASTEUR INC.,FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10190_7523
116569340,75D30121D10213,2020-12-24,7169173.5,SEQIRUS USA INC.,PEDIATRIC FLU VACCINE,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Disease Control and Prevention,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_IDV_75D30121D10213_7523
116547607,75FCMC21D0003,2020-12-23,10000.0,VISUAL CONNECTIONS L.L.C.,PROVIDER ENROLLMENT AND OVERSIGHT IDIQ AWARD,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Medicare and Medicaid Services,Department of Health and Human Services,Centers for Medicare and Medicaid Services,806,department-of-health-and-human-services,CONT_IDV_75FCMC21D0003_7530
116547606,75FCMC21D0002,2020-12-23,10000.0,CHAGS HEALTH INFORMATION TECHNOLOGY LLC,PROVIDER ENROLLMENT AND OVERSIGHT IDIQ AWARD,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Medicare and Medicaid Services,Department of Health and Human Services,Centers for Medicare and Medicaid Services,806,department-of-health-and-human-services,CONT_IDV_75FCMC21D0002_7530
116547605,75FCMC21D0001,2020-12-23,10000.0,ARCH SYSTEMS LLC,PROVIDER ENROLLMENT AND OVERSIGHT IDIQ AWARD,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Health and Human Services,Centers for Medicare and Medicaid Services,Department of Health and Human Services,Centers for Medicare and Medicaid Services,806,department-of-health-and-human-services,CONT_IDV_75FCMC21D0001_7530
116547596,1305M221DNMAN0003,2020-12-23,37500.0,L-3 COMMUNICATIONS INTEGRATED SYSTEMS L.P.,LOCKHEED P-3 FIXED WING AIRCRAFT MAINTENANCE AND ENGINEERING SERVICES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Commerce,National Oceanic and Atmospheric Administration,Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,CONT_IDV_1305M221DNMAN0003_1330
126948470,28321321D00060005,2020-12-22,4992422.53,RED RIVER TECHNOLOGY LLC,"THIS IS AN INDEFINITE DELIVERY, INDEFINITE QUANTITY (IDIQ) CONTRACT TO OBTAIN THE SERVICES OF AN AUTHORIZED DELL EMC SERVICE PROVIDER TO PROVIDE PREVENTIVE MAINTENANCE SERVICE IN ACCORDANCE WITH THE CONTRACT TERMS AND CONDITIONS, AND ATTACHED STATEME",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Social Security Administration,Social Security Administration,Social Security Administration,Social Security Administration,539,social-security-administration,CONT_IDV_28321321D00060005_2800
116490424,68HERC21D0006,2020-12-22,1412500.0,THE CADMUS GROUP LLC,TECHNICAL AND ADMINISTRATIVE SUPPORT FOR THE U.S. EPA'S NATIONAL DRINKING WATER PROGRAM,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,Environmental Protection Agency,700,environmental-protection-agency,CONT_IDV_68HERC21D0006_6800
116609693,19AQMM21D0044,2020-12-21,10000.0,"RAPISCAN SYSTEMS, INC.",INL/WHP FUNCTIONAL AREA 5 MULTIPLE-AWARD IDIQ: FORENSICS AND NON-INTRUSIVE INSPECTION EQUIPMENT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0044_1900
116609690,19AQMM21D0041,2020-12-21,10000.0,CULMEN INTERNATIONAL LLC,INL/WHP FUNCTIONAL AREA 5 MULTIPLE-AWARD IDIQ: FORENSICS AND NON-INTRUSIVE INSPECTION EQUIPMENT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0041_1900
144106777,47QFSA21D0001,2020-12-17,471372.5,MEASUREMENT TECHNOLOGY LABORATORIES LLC,MIGRATED ID04150093006  EPA PM 25 TEFLON FILTERS OY4 ORDER 006,INDEFINITE DELIVERY / REQUIREMENTS,,General Services Administration,Federal Acquisition Service,Environmental Protection Agency,Environmental Protection Agency,614,general-services-administration,CONT_IDV_47QFSA21D0001_4732
128982735,80JSC021D0009,2020-12-17,127352.0,CALNETIX TECHNOLOGIES LLC,SUSTAINING SERVICES FOR THE 4BCO2 BLOWER SYSTEM,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_IDV_80JSC021D0009_8000
127923383,19AQMM21D0003,2020-12-15,5000.0,CGI FEDERAL INC.,GSS 2.0 AWARD CGI - THE PURPOSE OF THIS CONTRACT IS TO PROVIDE NON-INHERENTLY GOVERNMENTAL CONSULAR SUPPORT SERVICES WORLDWIDE AS PART OF THE BUREAU OF CONSULAR AFFAIRS' GLOBAL SUPPORT STRATEGY PROGRAM.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0003_1900
127716207,19AQMM21D0012,2020-12-15,5000.0,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,THE PURPOSE OF THIS CONTRACT IS TO PROVIDE NON-INHERENTLY GOVERNMENTAL CONSULAR SUPPORT SERVICES WORLDWIDE AS PART OF THE BUREAU OF CONSULAR AFFAIRS' GLOBAL SUPPORT STRATEGY PROGRAM.,GWAC,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0012_1900
127692675,19AQMM21D0013,2020-12-15,5000.0,PAE NATIONAL SECURITY SOLUTIONS LLC,THE PURPOSE OF THIS CONTRACT IS TO PROVIDE NON-INHERENTLY GOVERNMENTAL CONSULAR SUPPORT SERVICES WORLDWIDE AS PART OF THE BUREAU OF CONSULAR AFFAIRS' GLOBAL SUPPORT STRATEGY PROGRAM.,GWAC,,Department of State,Department of State,Department of State,Department of State,315,department-of-state,CONT_IDV_19AQMM21D0013_1900
116209920,1305M221DNWWE0004,2020-12-15,1806210.0,"KAYMONT CONSOLIDATED INDUSTRIES, INC.",GP26 AEROLOGICAL SOUNDING BALLOONS FOR THE NATIONAL WEATHER SERVICE.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Commerce,National Oceanic and Atmospheric Administration,Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,CONT_IDV_1305M221DNWWE0004_1330
116230194,6973GH21D00005,2020-12-11,35737.17,"INTERTEK TESTING SERVICES NA, INC.",ISO SURVEILLANCE AND RECERTIFICATION AUDIT,INDEFINITE DELIVERY / REQUIREMENTS,['Q'],Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,731,department-of-transportation,CONT_IDV_6973GH21D00005_6920
116209932,89303321DEM000056,2020-12-10,417732.0,SWIFT & STALEY INC.,PADUCAH INFRASTRUCTURE SUPPORT SERVICES CONTRACT,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Department of Energy,Department of Energy,Department of Energy,Department of Energy,930,department-of-energy,CONT_IDV_89303321DEM000056_8900
116132403,693KA921D00008,2020-12-08,536374441.44,LEIDOS INC,CONTRACT TO PROVIDE ENGINEERING AND TECHNICAL SUPPORT SERVICES AS REQUIRED TO VARIOUS FAA ORGANIZATIONS.,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['C', 'Q', 'Z']",Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,731,department-of-transportation,CONT_IDV_693KA921D00008_6920
116106080,28321321D00060011,2020-12-07,4857751.41,"AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINISTRATORS, THE",AAMVA SHALL PROVIDE SSA WITH NECESSARY ASSISTANCE RELATED TO DRIVERS LICENSE VALIDATION FOR DIGITAL IDENTITY,INDEFINITE DELIVERY / REQUIREMENTS,['Q'],Social Security Administration,Social Security Administration,Social Security Administration,Social Security Administration,539,social-security-administration,CONT_IDV_28321321D00060011_2800
116078799,47PJ0021D0001,2020-12-04,3034754.62,AHNTECH INC,"NORTH DAKOTA FULL MAINTENANCE CONTRACT AT LAND PORT OF ENTRIES IN AMBROSE, DUNSEITH, PEMBINA, PORTAL, AND ST. JOHN, ND",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PJ0021D0001_4740
128758958,15UC0C21D00000247,2020-12-01,2116865.13,ULTRA TECH EXTRUSTIONS OF TENNESSEE INC,EDGEBANDING/TMOLDING,INDEFINITE DELIVERY / INDEFINITE QUANTITY,,Department of Justice,Federal Prison Industries / Unicor,Department of Justice,Federal Prison Industries / Unicor,252,department-of-justice,CONT_IDV_15UC0C21D00000247_1542
116304301,47PM0321D0001,2020-12-01,215488.75,"GBR ARCHITECTS, LLC","SUBSTRUCTURE WATERPROOFING REPLACEMENT MATERIAL DESIGN AT DEPT. OF ENERGY, FORRESTAL BLDG.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PM0321D0001_4740
116007366,60RRBH21D0001,2020-12-01,142702.0,"IMA EVALUATIONS, LLC",CONSULTATIVE MEDICAL OPINION SERVICES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],Railroad Retirement Board,Railroad Retirement Board,Railroad Retirement Board,Railroad Retirement Board,693,railroad-retirement-board,CONT_IDV_60RRBH21D0001_6000
116007365,47PE0721D0002,2020-12-01,686813.8,"GLOBAL CONNECTIONS TO EMPLOYMENT, INC.","THIS CONTRACT IS FOR JANITORIAL AND RELATED SERVICES FOR THE US COURTHOUSE AND WINSTON ARNOW COURTHOUSE IN PENSACOLA, FL.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PE0721D0002_4740
115963215,47PE0221D0005,2020-12-01,242114.28,"EASTER SEALS EAST GEORGIA, INC.",CUSTODIAL SERVICES,INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PE0221D0005_4740
115909267,47PE0221D0006,2020-12-01,57679.92,MIDDLE FLINT AREA COMMUNITY SERVICE BOARD,"OTHER FUNCTIONS, NEW CUSTODIAL SERVICES AWARD AT THE GNANN HOUSE IN PLAINS GA.",INDEFINITE DELIVERY / INDEFINITE QUANTITY,"['N', 'Q']",General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PE0221D0006_4740
115651091,47PB0021D0001,2020-12-01,378900.0,KONE INC.,"CONTRACT FOR ELEVATOR OPERATION AND MAINTENANCE SERVICES FOR FEDERAL BUILDINGS IN THE FOLLOWING STATES MASSACHUSETTS (EXCLUDING BOSTON, RHODE ISLAND AND CONNECTICUT",INDEFINITE DELIVERY / INDEFINITE QUANTITY,['Q'],General Services Administration,Public Buildings Service,General Services Administration,Public Buildings Service,614,general-services-administration,CONT_IDV_47PB0021D0001_4740
